modelo,f1_macro_cv,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
logistic_regression,0.9530544860748137,0.9545454545454546,0.9415452318678125,0.9537623086010182,0.9583333333333334,0.9277679575767315
random_forest,0.9539497995858449,0.9545454545454546,0.9411371237458194,0.9535877166311949,0.9620563035495715,0.9246344206974129
gradient_boosting,0.9490304637526028,0.9545454545454546,0.9411371237458194,0.9535877166311949,0.9620563035495715,0.9246344206974129
knn,0.9458672629972634,0.9460227272727273,0.9303442170494194,0.9449900110304735,0.9487096074604207,0.9155953720070706
svm,0.9527925088864636,0.9460227272727273,0.9293493762082334,0.944560152617947,0.9563532942177633,0.9093282982484332
voting_ensemble,,0.9545454545454546,0.9415452318678125,0.9537623086010182,0.9583333333333334,0.9277679575767315
